normative_name,x,y,z,RSR_lowFreq,RSR_highFreq
p01_Ia_2_3,-0.0415060683839253,-0.0035505639677333,-0.001743802609181,0.002408049284348,0.005346851624736
p01_Ia_3_4,-0.0406820198016112,-0.0015135210144864,0.0011962394862577,0.0124498127264965,0.0062479425070616
p01_Ia_4_5,-0.0399295459080636,0.0005430179371725,0.0041519026380219,0.0083979538516315,-0.0077736236524669
p01_Ia_9_10,-0.0366448225361562,0.0109448976593235,0.0197393738501033,0.0045259095856157,0.0013327513817815
p01_Ia_10_11,-0.0359655439648592,0.0129752881415934,0.0229996781493147,0.0017772408926832,0.0042678412650652
p01_Ia_11_12,-0.0352058780326997,0.0149878266398443,0.0261753847221521,0.0056751812594892,0.0011488284884868
p01_Ia_12_13,-0.0344486851610954,0.0169780785650429,0.029359402112634,0.0049006431221258,-0.003809819164933
p01_Ia_13_14,-0.0337464291477535,0.0189360865007882,0.0325397181819216,0.004111696217309,-0.0036669491459876
p01_Ia_14_15,-0.0330538373926108,0.0208973105830446,0.0357279285552775,0.003065223840166,-0.0102345320758564
p01_Ip_1_2,-0.0291111218753622,-0.0230091007089298,0.0048535992448537,0.0137939523436281,-0.0022257834893821
p01_Ip_2_3,-0.0293432546712038,-0.0239342381658311,0.0085984468549458,0.020719762500315,-0.000433796811585
p01_Ip_3_4,-0.0295935690394164,-0.0248708050475112,0.0123697969956832,0.0009080797905932,-0.0006312198433808
p01_Ip_4_5,-0.0299112946186065,-0.0258298633879712,0.0161525331802251,0.0212567071164535,-0.0037082077640677
p01_Ip_11_12,-0.032215826763179,-0.0356063182004595,0.0558136146075437,0.0040838300936397,-0.0102721990119292
p01_Ip_12_13,-0.0323481339219536,-0.0367016344131572,0.0597508815795705,0.0136176163555509,-0.0035668192345426
p01_Ip_13_14,-0.0324751357873641,-0.0378395909453064,0.063654352120942,0.0001125556061182,-0.0027341137282853
p01_OF_1_2,-0.0229627028596316,0.0152519594396287,0.0048826244558772,0.002477180106481,5.52690834977407e-05
p01_OF_4_5,-0.032826972692509,0.01236451899452,0.0064284290285082,0.0052310211872556,-0.0092654657425644
p01_OF_5_6,-0.0362720925726677,0.0114380519963428,0.0069534902591545,0.0043825927721965,-0.0022970167541427
p01_OF_6_7,-0.0395730409540858,0.010474949180667,0.0074802493941866,0.0099214517042231,-0.002178678822952
p01_OF_7_8,-0.0428030521236233,0.0095093883026201,0.0079631966135721,0.0019153135922042,-0.0022348162361106
p01_OF_8_9,-0.046299201269621,0.0085903305181242,0.0084728583359264,0.0080335070937126,0.0014203771848876
p01_OF_9_10,-0.0496062417447815,0.0076580150240978,0.0090889168646343,0.0067703143248664,0.0005025224578498
p01_OF_10_11,-0.0528699267646176,0.0066878857646501,0.0098398682455691,0.0013251739543554,-0.0044994432734543
p01_OF_11_12,-0.0562534145686475,0.005751996754536,0.0106597105777793,0.0060204768595494,0.0035729437194473
p01_OF_12_13,-0.0595730488862583,0.0047170622624855,0.0114583887472306,-0.0058031151545888,-0.0027868692482624
p01_OF_13_14,-0.0626615697414656,0.0035041497929601,0.0124229516310423,0.0025220844389695,-0.0021539583435238
p01_OR_1_2,-0.0254775711286198,0.0127645071439884,-0.0221215169866153,0.0119850781036036,-0.0029684098895356
p01_OR_2_3,-0.0271435735722493,0.0143501009000092,-0.0191433017035367,0.0133886267270381,0.0029288111218792
p01_OR_3_4,-0.0288384054548441,0.0159300143965255,-0.0161912978809257,0.0026800038028799,-0.0066739720909548
p01_OR_4_5,-0.0305240998592993,0.0175161705035921,-0.0132354166233412,-0.0010271591524853,0.0039629984750263
p01_OR'_1_2,0.0048382236915645,0.0320935853341969,-0.0264687190916945,0.0008771267530069,-0.0037908513118681
p01_OR'_2_3,0.0043849227825099,0.0343528143435079,-0.023427597165219,0.0027479835001016,-0.0058363176053132
p01_OR'_3_4,0.0038834720499761,0.0365967434383139,-0.0203987856903044,0.0022197080598568,-0.0118196466289941
p01_OR'_11_12,-0.0012947969289633,0.0613928523265911,0.0180595874117454,0.0151656259303917,-0.0215025520795445
p01_R_1_2,-0.018497466802643,0.0374124160557352,-0.0214704148428393,-0.0064078066519209,-0.0006117688042365
p01_R_2_3,-0.021950961859827,0.0367274602213504,-0.020785009821736,0.007673031574838,-0.0061581521943733
p01_R_3_4,-0.0254793677929796,0.0360156906785005,-0.0201013111715883,0.0068634152668169,0.001462074656857
p01_R_4_5,-0.0289523248903479,0.0353240085550527,-0.0195350440525602,-0.0004256878569171,0.0056166736014914
p01_R_5_6,-0.0325238273516767,0.0347394951718727,-0.0190633758248561,0.0020627862351893,0.0041099100583276
p01_R_6_7,-0.0359324261325267,0.0341634729480568,-0.0186427166887098,0.0069095858300304,-0.001433018264087
p01_R_7_8,-0.0391716571676348,0.033591895498971,-0.0181807128885498,0.0027560405009755,-0.0009150404004867
p01_R_8_9,-0.0425723916686477,0.0329374533646518,-0.0175753611443599,0.0053336640331111,0.012686993437672
p01_R_9_10,-0.0459028496758468,0.0321343714502398,-0.016923444627263,0.0086616211994854,-0.0021536706240462
p01_T_1_2,-0.0352309639583671,-0.0216589470544278,-0.0012930497089012,0.0036949757386182,0.0035551452074191
p01_T_2_3,-0.0384526157569948,-0.0224416492927311,-0.0011360681174448,0.0750190902573304,0.0058255090402553
p01_T_3_4,-0.041991610970838,-0.023183255162346,-0.0009852246221109,0.1082498997229026,7.960121778085964e-05
p01_T_4_5,-0.0454197554960042,-0.0240346927487384,-0.0007280121841655,0.0374059288909525,0.0062936521142278
p01_T_5_6,-0.0487483759711573,-0.0248294441501846,-0.0003177105572494,0.0510626235050729,0.0167337627638371
p01_T_6_7,-0.0521987217362673,-0.0256120682599152,1.7127330211849492e-06,0.0610310452627541,0.0071632607094432
p01_T_7_8,-0.0558126620901841,-0.0264801033591059,0.0003636613121495,0.0697232258369838,0.0158545715530899
p01_T_8_9,-0.0593829765086628,-0.0272867093859617,0.0007607992543625,0.0305023615307131,0.0052734649412348
p01_TB_1_2,-0.0200221261468139,-0.0240293413929965,-0.0306871054928343,-0.0017352705016028,0.0098325439804971
p01_TB_2_3,-0.0232371337880924,-0.0250659965273045,-0.0301806857914982,0.006112753104443,0.0051377263578241
p01_TB_3_4,-0.0266160657628762,-0.0260979014814288,-0.0297090694280943,0.0004241939455714,0.0013290898596336
p01_TB_4_5,-0.0299761256766338,-0.0271245834460123,-0.0292505172556841,0.0070721236970432,-0.0048081850125238
p01_TB_5_6,-0.0333861112295211,-0.0281154237450076,-0.0288934100054349,-0.0005914729449707,0.0088960953266414
p01_TB_6_7,-0.0367239183405739,-0.0290798032785855,-0.0285303144681004,0.0014295519559949,0.0018655027836267
p01_TB_7_8,-0.0400467578393195,-0.0300273910863711,-0.0280716767061518,0.0035485214645901,0.0047888382528127
p01_TB_8_9,-0.0433576916194419,-0.0310167569406763,-0.0275849269995685,0.0011982079623123,0.0096650145528784
p01_TB_9_10,-0.046679032726126,-0.0320418763086862,-0.0270702826251717,0.0044735818252875,0.0041642121375602
p01_TB_10_11,-0.0500928225812809,-0.0330364346681997,-0.0265898520733703,0.0181327861128436,-0.0031636718723505
p01_TB_11_12,-0.0537044040753618,-0.0339553502845898,-0.0260966712449818,0.0105076030030597,-6.868294004782535e-05
p01_TB'_1_2,0.0253090931296841,-0.0117039318010322,-0.0273807096996814,0.0058056498732312,-0.0049538738479763
p01_TB'_2_3,0.0286545284706391,-0.0105941385029709,-0.0274931756680881,0.0084233929757599,-0.004864973701963
p01_TB'_3_4,0.0320384641710855,-0.0094362087705776,-0.0277311003370598,0.0129318239352817,5.247541999435241e-06
p01_TB'_4_5,0.0355959670551203,-0.008334298450753,-0.0279815769024512,0.0009644502602531,0.0069247183148729
p01_TB'_5_6,0.0390662851988267,-0.0070557052541764,-0.0282025742777245,0.0070163821843071,-0.0093436855786959
p01_TB'_6_7,0.0424870073940419,-0.0058408137336532,-0.0284258289286764,0.0023843252609465,0.0017920818303287
p01_TB'_7_8,0.0460241842618743,-0.004759508803822,-0.0287119501054934,-0.0041361035016034,-0.0107815644254173
p01_TB'_8_9,0.0494632057866669,-0.003682115768985,-0.0289607852982478,0.0098665722293402,0.0054685763756304
p01_TB'_9_10,0.0528025713279408,-0.0026518337214199,-0.0292222852618408,0.0042336277511454,-0.0005175246827651
p01_TB'_10_11,0.0561698795917965,-0.0015964870037584,-0.0295341105300352,0.0090890143685343,0.0015179067327638
p01_TB'_11_12,0.0595394579163904,-0.0004279578127959,-0.0296941607265715,-0.0081534513917284,-0.0014773145540881
p01_TP_1_2,-0.020885422088973,-0.0130618894957635,-0.0361080479699746,0.0121043380816271,-0.0044997603627896
p01_TP_2_3,-0.024019326284585,-0.0141885760091685,-0.0361084756157914,0.0044774914493321,0.0031846460153625
p01_TP_3_4,-0.0274027864243061,-0.0152575796393073,-0.0359912568427182,0.0024508001918524,-0.0090072574417909
p01_TP_4_5,-0.0308393657778523,-0.0163363247051035,-0.0358561112106432,0.0065173566338505,0.0009995518350772
p01_TP_5_6,-0.0342743857713124,-0.0173516176861188,-0.035754540896014,0.0071932366040309,0.0095520796262019
p01_TP_6_7,-0.0376098165817086,-0.0183375061978606,-0.0356656410902307,0.0034558003508925,0.0042886718052089
p01_TP_7_8,-0.0409681363007143,-0.0194666916292293,-0.0355411566110913,0.0040784286066826,0.0041916061651449
p01_TP_8_9,-0.0442968114907341,-0.0205919495221965,-0.0354401161708477,0.0024807901053264,0.0054900949356752
p02_A_1_2,0.0182695550315012,-0.006993549193629,-0.0165652107603171,-0.002147270334339,0.0050053853766288
p02_A_2_3,0.0216123832010797,-0.0070574411426032,-0.0173737049527559,-0.0007419275007699,0.0061003018061553
p02_A_3_4,0.0249693400451672,-0.0070736972975381,-0.0181425613842692,0.0180172719540231,-0.0045513103938537
p02_A_4_5,0.0284525372848986,-0.0071698718721746,-0.0189177412190186,0.026292412172265,-0.0073909628634582
p02_A_5_6,0.0319558155775841,-0.0072577180464052,-0.0196636255910038,0.0161894736031061,0.0033982328891011
