env_idx,final_point,sfreq,stim_duration,stim_names,suj,id,phon,sti,nb_phon,nb_syll,syll*phon,all_id
130,726,256,2.67,6_Hz_low_283051,s3,6,l,283051,16,8,3.0,61
247,484,256,1.78,9_Hz_mid_12079,s3,9,m,12079,20,8,3.6,92
23,1792,256,6.67,3_Hz_low_270156,s3,3,l,270156,20,10,1.5,31
37,1451,256,5.33,3_Hz_mid_12079,s3,3,m,12079,20,8,1.2000000000000002,32
175,725,256,2.67,6_Hz_hig_103682,s3,6,h,103682,24,8,2.0,63
199,896,256,3.33,6_Hz_hig_65558,s3,6,h,65558,30,10,2.0,63
67,1792,256,6.67,3_Hz_mid_81264,s3,3,m,81264,25,10,1.2000000000000002,32
304,598,256,2.22,9_Hz_hig_65558,s3,9,h,65558,30,10,3.0,93
177,725,256,2.67,6_Hz_hig_116796,s3,6,h,116796,24,8,2.0,63
219,598,256,2.22,9_Hz_low_174545,s3,9,l,174545,20,10,4.5,91
243,484,256,1.78,9_Hz_low_9409,s3,9,l,9409,16,8,4.5,91
76,1109,256,4.0,3_Hz_hig_133067,s3,3,h,133067,18,6,1.0,33
143,725,256,2.67,6_Hz_mid_12774,s3,6,m,12774,20,8,2.4000000000000004,62
230,541,256,2.0,9_Hz_low_241579,s3,9,l,241579,18,9,4.5,91
98,1792,256,6.67,3_Hz_hig_71719,s3,3,h,71719,30,10,1.0,33
314,484,256,1.78,9_Hz_hig_94875,s3,9,h,94875,24,8,3.0,93
170,725,256,2.67,6_Hz_mid_58188,s3,6,m,58188,20,8,2.4000000000000004,62
275,483,256,1.78,9_Hz_mid_58188,s3,9,m,58188,20,8,3.6,92
188,896,256,3.33,6_Hz_hig_204987,s3,6,h,204987,30,10,2.0,63
286,370,256,1.33,9_Hz_hig_133067,s3,9,h,133067,18,6,3.0,93
150,896,256,3.33,6_Hz_mid_174183,s3,6,m,174183,25,10,2.4000000000000004,62
216,597,256,2.22,9_Hz_low_157414,s3,9,l,157414,20,10,4.5,91
26,1451,256,5.33,3_Hz_low_287831,s3,3,l,287831,16,8,1.5,31
237,541,256,2.0,9_Hz_low_294118,s3,9,l,294118,18,9,4.5,91
259,597,256,2.22,9_Hz_mid_216113,s3,9,m,216113,25,10,3.6,92
265,484,256,1.78,9_Hz_mid_26733,s3,9,m,26733,20,8,3.6,92
82,1450,256,5.33,3_Hz_hig_194717,s3,3,h,194717,24,8,1.0,33
147,725,256,2.67,6_Hz_mid_162241,s3,6,m,162241,20,8,2.4000000000000004,62
172,896,256,3.33,6_Hz_mid_81264,s3,6,m,81264,25,10,2.4000000000000004,62
244,483,256,1.78,9_Hz_low_95064,s3,9,l,95064,16,8,4.5,91
49,1792,256,6.67,3_Hz_mid_216113,s3,3,m,216113,25,10,1.2000000000000002,32
146,725,256,2.67,6_Hz_mid_160597,s3,6,m,160597,20,8,2.4000000000000004,62
164,726,256,2.67,6_Hz_mid_288013,s3,6,m,288013,20,8,2.4000000000000004,62
182,725,256,2.67,6_Hz_hig_139345,s3,6,h,139345,24,8,2.0,63
103,1451,256,5.33,3_Hz_hig_92571,s3,3,h,92571,24,8,1.0,33
50,1793,256,6.67,3_Hz_mid_217765,s3,3,m,217765,25,10,1.2000000000000002,32
180,640,256,2.33,6_Hz_hig_131912,s3,6,h,131912,21,7,2.0,63
311,427,256,1.56,9_Hz_hig_7634,s3,9,h,7634,21,7,3.0,93
157,725,256,2.67,6_Hz_mid_247704,s3,6,m,247704,20,8,2.4000000000000004,62
297,427,256,1.56,9_Hz_hig_264851,s3,9,h,264851,21,7,3.0,93
312,370,256,1.33,9_Hz_hig_87510,s3,9,h,87510,18,6,3.0,93
102,1109,256,4.0,3_Hz_hig_87510,s3,3,h,87510,18,6,1.0,33
140,725,256,2.67,6_Hz_mid_105349,s3,6,m,105349,20,8,2.4000000000000004,62
178,811,256,3.0,6_Hz_hig_12644,s3,6,h,12644,27,9,2.0,63
217,483,256,1.78,9_Hz_low_158330,s3,9,l,158330,16,8,4.5,91
283,541,256,2.0,9_Hz_hig_12644,s3,9,h,12644,27,9,3.0,93
310,541,256,2.0,9_Hz_hig_75049,s3,9,h,75049,27,9,3.0,93
129,725,256,2.67,6_Hz_low_279880,s3,6,l,279880,16,8,3.0,61
309,484,256,1.78,9_Hz_hig_74139,s3,9,h,74139,24,8,3.0,93
87,1280,256,4.67,3_Hz_hig_264851,s3,3,h,264851,21,7,1.0,33
226,427,256,1.56,9_Hz_low_212756,s3,9,l,212756,14,7,4.5,91
0,1451,256,5.33,3_Hz_low_100432,s3,3,l,100432,16,8,1.5,31
194,640,256,2.33,6_Hz_hig_270181,s3,6,h,270181,21,7,2.0,63
236,484,256,1.78,9_Hz_low_287831,s3,9,l,287831,16,8,4.5,91
133,811,256,3.0,6_Hz_low_34961,s3,6,l,34961,18,9,3.0,61
154,896,256,3.33,6_Hz_mid_216113,s3,6,m,216113,25,10,2.4000000000000004,62
148,895,256,3.33,6_Hz_mid_172709,s3,6,m,172709,25,10,2.4000000000000004,62
202,640,256,2.33,6_Hz_hig_68926,s3,6,h,68926,21,7,2.0,63
211,541,256,2.0,9_Hz_low_108669,s3,9,l,108669,18,9,4.5,91
56,1451,256,5.33,3_Hz_mid_269948,s3,3,m,269948,20,8,1.2000000000000002,32
190,811,256,3.0,6_Hz_hig_229749,s3,6,h,229749,27,9,2.0,63
224,597,256,2.22,9_Hz_low_195033,s3,9,l,195033,20,10,4.5,91
168,896,256,3.33,6_Hz_mid_43929,s3,6,m,43929,25,10,2.4000000000000004,62
163,896,256,3.33,6_Hz_mid_281619,s3,6,m,281619,25,10,2.4000000000000004,62
88,1621,256,6.0,3_Hz_hig_269897,s3,3,h,269897,27,9,1.0,33
137,811,256,3.0,6_Hz_low_93761,s3,6,l,93761,18,9,3.0,61
289,484,256,1.78,9_Hz_hig_154892,s3,9,h,154892,24,8,3.0,93
69,1792,256,6.67,3_Hz_mid_83266,s3,3,m,83266,25,10,1.2000000000000002,32
8,1451,256,5.33,3_Hz_low_17029,s3,3,l,17029,16,8,1.5,31
32,1621,256,6.0,3_Hz_low_93761,s3,3,l,93761,18,9,1.5,31
71,1451,256,5.33,3_Hz_hig_114844,s3,3,h,114844,24,8,1.0,33
55,1451,256,5.33,3_Hz_mid_26733,s3,3,m,26733,20,8,1.2000000000000002,32
52,1450,256,5.33,3_Hz_mid_247704,s3,3,m,247704,20,8,1.2000000000000002,32
6,1792,256,6.67,3_Hz_low_157414,s3,3,l,157414,20,10,1.5,31
184,725,256,2.67,6_Hz_hig_154892,s3,6,h,154892,24,8,2.0,63
284,483,256,1.78,9_Hz_hig_127372,s3,9,h,127372,24,8,3.0,93
33,1450,256,5.33,3_Hz_low_9409,s3,3,l,9409,16,8,1.5,31
162,896,256,3.33,6_Hz_mid_277953,s3,6,m,277953,25,10,2.4000000000000004,62
258,484,256,1.78,9_Hz_mid_206184,s3,9,m,206184,20,8,3.6,92
110,725,256,2.67,6_Hz_low_148782,s3,6,l,148782,16,8,3.0,61
116,811,256,3.0,6_Hz_low_183805,s3,6,l,183805,18,9,3.0,61
78,1450,256,5.33,3_Hz_hig_141919,s3,3,h,141919,24,8,1.0,33
134,896,256,3.33,6_Hz_low_50866,s3,6,l,50866,20,10,3.0,61
97,1281,256,4.67,3_Hz_hig_68926,s3,3,h,68926,21,7,1.0,33
100,1622,256,6.0,3_Hz_hig_75049,s3,3,h,75049,27,9,1.0,33
264,598,256,2.22,9_Hz_mid_266186,s3,9,m,266186,25,10,3.6,92
2,1451,256,5.33,3_Hz_low_112599,s3,3,l,112599,16,8,1.5,31
48,1451,256,5.33,3_Hz_mid_206184,s3,3,m,206184,20,8,1.2000000000000002,32
221,541,256,2.0,9_Hz_low_183805,s3,9,l,183805,18,9,4.5,91
53,1451,256,5.33,3_Hz_mid_259112,s3,3,m,259112,20,8,1.2000000000000002,32
306,541,256,2.0,9_Hz_hig_68034,s3,9,h,68034,27,9,3.0,93
62,1451,256,5.33,3_Hz_mid_43197,s3,3,m,43197,20,8,1.2000000000000002,32
169,725,256,2.67,6_Hz_mid_49814,s3,6,m,49814,20,8,2.4000000000000004,62
40,1451,256,5.33,3_Hz_mid_135509,s3,3,m,135509,20,8,1.2000000000000002,32
305,540,256,2.0,9_Hz_hig_66396,s3,9,h,66396,27,9,3.0,93
214,540,256,2.0,9_Hz_low_135844,s3,9,l,135844,18,9,4.5,91
183,726,256,2.67,6_Hz_hig_141919,s3,6,h,141919,24,8,2.0,63
277,597,256,2.22,9_Hz_mid_81264,s3,9,m,81264,25,10,3.6,92
54,1793,256,6.67,3_Hz_mid_266186,s3,3,m,266186,25,10,1.2000000000000002,32
270,483,256,1.78,9_Hz_mid_292206,s3,9,m,292206,20,8,3.6,92
80,1280,256,4.67,3_Hz_hig_170578,s3,3,h,170578,21,7,1.0,33
122,725,256,2.67,6_Hz_low_225690,s3,6,l,225690,16,8,3.0,61
83,1792,256,6.67,3_Hz_hig_204987,s3,3,h,204987,30,10,1.0,33
